mq2,mq135,label
3.55,3.92,1
3.55,4.07,1
3.55,3.92,1
3.55,4.22,1
3.55,3.92,1
3.55,4.07,1
3.68,3.92,1
3.55,3.92,1
3.68,4.07,1
3.55,4.07,1
3.55,4.22,1
3.55,3.92,1
3.55,3.92,1
3.55,3.92,1
3.68,4.07,1
3.68,4.07,1
3.55,3.92,1
3.55,4.07,1
3.68,4.07,1
3.68,4.07,1
3.55,3.92,1
3.55,4.07,1
3.68,3.92,1
3.68,3.92,1
3.55,3.92,1
3.55,3.92,1
3.68,4.07,1
3.55,3.92,1
3.55,4.07,1
3.55,4.07,1
3.55,3.92,1
3.55,3.92,1
3.55,3.92,1
3.68,4.07,1
3.55,3.92,1
3.55,3.92,1
3.68,4.07,1
3.55,4.07,1
3.55,3.92,1
3.55,4.22,1
3.55,3.92,1
3.55,4.07,1
3.55,4.07,1
3.55,4.07,1
3.55,4.07,1
3.55,3.92,1
3.55,3.92,1
3.68,4.07,1
3.68,3.92,1
3.55,3.92,1
3.55,4.07,1
3.55,3.92,1
3.55,4.07,1
3.68,3.92,1
3.55,3.92,1
3.55,4.07,1
3.55,4.07,1
3.55,3.92,1
3.55,3.92,1
3.55,3.92,1
3.55,4.07,1
3.55,3.92,1
3.55,3.92,1
3.55,4.07,1
3.55,3.92,1
3.55,3.92,1
3.55,3.92,1
3.55,3.92,1
3.55,3.92,1
3.55,4.07,1
3.68,3.92,1
3.68,4.07,1
3.68,4.07,1
3.55,4.07,1
3.55,3.92,1
3.68,3.92,1
3.55,3.92,1
3.55,4.07,1
3.55,4.07,1
3.55,4.07,1
3.55,4.22,1
3.55,3.92,1
3.55,4.07,1
3.55,4.07,1
3.55,4.07,1
3.55,4.22,1
3.55,4.07,1
3.55,3.92,1
3.55,4.07,1
3.68,4.07,1
3.68,3.92,1
3.55,4.07,1
3.55,4.07,1
3.55,3.92,1
3.55,4.22,1
3.55,3.92,1
3.68,3.92,1
3.55,4.07,1
3.55,4.22,1
3.55,4.22,1
3.55,4.22,1
3.55,3.92,1
3.55,4.07,1
3.55,4.07,1
3.55,3.92,1
3.68,4.07,1
3.55,4.07,1
3.68,4.07,1
3.55,4.22,1
3.55,3.92,1
3.68,4.07,1
3.55,3.92,1
3.55,4.07,1
3.55,4.07,1
3.55,3.92,1
3.68,4.07,1
3.55,4.07,1
3.55,4.07,1
3.68,4.22,1
3.68,4.07,1
3.55,4.07,1
3.55,4.07,1
3.55,4.22,1
3.55,4.07,1
3.55,4.22,1
3.55,4.07,1
3.68,4.22,1
3.55,4.22,1
3.68,4.22,1
3.68,4.22,1
3.55,3.92,1
3.55,4.22,1
3.55,4.22,1
3.55,4.07,1
3.55,4.22,1
3.68,4.22,1
3.55,4.22,1
3.55,4.07,1
3.55,4.07,1
3.55,4.07,1
3.55,4.07,1
3.55,4.07,1
3.55,4.22,1
3.55,4.22,1
3.55,4.22,1
3.55,4.07,1
3.55,4.22,1
3.55,4.22,1
3.55,4.22,1
3.68,4.22,1
3.55,3.92,1
3.55,4.22,1
3.55,4.22,1
3.68,4.07,1
3.55,4.07,1
3.55,4.22,1
3.55,4.07,1
3.55,4.22,1
3.55,4.07,1
3.55,4.07,1
3.55,4.22,1
3.55,4.07,1
3.55,4.07,1
3.55,4.22,1
3.55,4.22,1
